,0
"frozenset({'CHAS', 'LSTAT', 'CRIM'})",0.046633829201101915
"frozenset({'NOX', 'LSTAT', 'CRIM'})",0.016140991735537184
"frozenset({'RAD', 'LSTAT', 'CRIM'})",0.03381316804407713
"frozenset({'LSTAT', 'CRIM'})",0.055591074380165265
"frozenset({'TAX', 'INDUS', 'LSTAT'})",0.0
"frozenset({'TAX', 'AGE', 'LSTAT'})",0.03389256198347108
"frozenset({'TAX', 'CHAS', 'LSTAT'})",0.022924407713498615
"frozenset({'TAX', 'NOX', 'LSTAT'})",0.02749129476584023
"frozenset({'RAD', 'TAX', 'LSTAT'})",0.03034479338842976
"frozenset({'TAX', 'LSTAT'})",0.06984666666666664
"frozenset({'LSTAT', 'INDUS', 'AGE'})",0.024989421487603306
"frozenset({'INDUS', 'CHAS', 'LSTAT'})",0.012711735537190084
"frozenset({'NOX', 'INDUS', 'LSTAT'})",0.012848154269972448
"frozenset({'RAD', 'INDUS', 'LSTAT'})",0.030647217630854002
"frozenset({'INDUS', 'LSTAT'})",0.030557796143250694
"frozenset({'CHAS', 'LSTAT', 'AGE'})",0.01447928374655647
"frozenset({'NOX', 'LSTAT', 'AGE'})",0.029141377410468322
"frozenset({'RAD', 'LSTAT', 'AGE'})",0.01428550964187328
"frozenset({'LSTAT', 'AGE'})",0.059360991735537195
"frozenset({'NOX', 'CHAS', 'LSTAT'})",0.024972892561983474
"frozenset({'RAD', 'CHAS', 'LSTAT'})",0.06222396694214872
"frozenset({'CHAS', 'LSTAT'})",0.031202424242424236
"frozenset({'RAD', 'NOX', 'LSTAT'})",0.0
"frozenset({'NOX', 'LSTAT'})",0.1184144903581267
"frozenset({'RAD', 'LSTAT'})",0.10002975206611571
frozenset({'LSTAT'}),0.36717449035812666
"frozenset({'TAX', 'INDUS', 'CRIM'})",0.015925785123966942
"frozenset({'TAX', 'AGE', 'CRIM'})",0.017751074380165318
"frozenset({'TAX', 'CHAS', 'CRIM'})",0.010429146005509643
"frozenset({'TAX', 'NOX', 'CRIM'})",0.015329366391184577
"frozenset({'RAD', 'TAX', 'CRIM'})",0.008451955922865018
"frozenset({'TAX', 'CRIM'})",0.017036914600550977
"frozenset({'INDUS', 'AGE', 'CRIM'})",0.0
"frozenset({'INDUS', 'CHAS', 'CRIM'})",0.00924396694214877
"frozenset({'NOX', 'INDUS', 'CRIM'})",0.00524964187327824
"frozenset({'RAD', 'INDUS', 'CRIM'})",0.009210633608815433
"frozenset({'INDUS', 'CRIM'})",0.010811515151515155
"frozenset({'CHAS', 'AGE', 'CRIM'})",0.018561707988980724
"frozenset({'NOX', 'AGE', 'CRIM'})",0.005686611570247938
"frozenset({'RAD', 'AGE', 'CRIM'})",0.009732341597796144
"frozenset({'AGE', 'CRIM'})",0.015109752066115712
"frozenset({'NOX', 'CHAS', 'CRIM'})",0.00489972451790634
"frozenset({'RAD', 'CHAS', 'CRIM'})",0.006072892561983468
"frozenset({'CHAS', 'CRIM'})",0.01224446280991736
"frozenset({'RAD', 'NOX', 'CRIM'})",0.01665911845730028
"frozenset({'NOX', 'CRIM'})",0.022693112947658425
"frozenset({'RAD', 'CRIM'})",0.014546501377410474
frozenset({'CRIM'}),0.08131834710743803
"frozenset({'TAX', 'INDUS', 'AGE'})",0.007765454545454556
"frozenset({'TAX', 'INDUS', 'CHAS'})",0.002510909090909091
"frozenset({'TAX', 'NOX', 'INDUS'})",0.006217134986225905
"frozenset({'RAD', 'INDUS', 'TAX'})",0.004385013774104693
"frozenset({'TAX', 'INDUS'})",0.004197741046831962
"frozenset({'TAX', 'CHAS', 'AGE'})",0.008781267217630862
"frozenset({'TAX', 'NOX', 'AGE'})",0.0049963085399449105
"frozenset({'RAD', 'TAX', 'AGE'})",0.00555035812672177
"frozenset({'TAX', 'AGE'})",0.02072942148760333
"frozenset({'TAX', 'NOX', 'CHAS'})",0.006196804407713499
"frozenset({'RAD', 'CHAS', 'TAX'})",0.0029257851239669493
"frozenset({'TAX', 'CHAS'})",0.0034063911845730083
"frozenset({'RAD', 'NOX', 'TAX'})",0.0032266115702479395
"frozenset({'TAX', 'NOX'})",0.02088132231404959
"frozenset({'RAD', 'TAX'})",0.0031323415977961453
frozenset({'TAX'}),0.027024738292011054
"frozenset({'INDUS', 'CHAS', 'AGE'})",0.004385785123966942
"frozenset({'NOX', 'INDUS', 'AGE'})",0.01134104683195594
"frozenset({'RAD', 'INDUS', 'AGE'})",0.0043099173553719046
"frozenset({'INDUS', 'AGE'})",0.006664242424242429
"frozenset({'NOX', 'INDUS', 'CHAS'})",0.006107493112947658
"frozenset({'RAD', 'INDUS', 'CHAS'})",0.0030375757575757615
"frozenset({'INDUS', 'CHAS'})",0.002647162534435263
"frozenset({'RAD', 'NOX', 'INDUS'})",0.009443526170798907
"frozenset({'NOX', 'INDUS'})",0.014749146005509648
"frozenset({'RAD', 'INDUS'})",0.0017876584022038565
frozenset({'INDUS'}),0.016724793388429773
"frozenset({'NOX', 'CHAS', 'AGE'})",0.007878457300275489
"frozenset({'RAD', 'CHAS', 'AGE'})",0.004701983471074382
"frozenset({'CHAS', 'AGE'})",0.012116088154269988
"frozenset({'RAD', 'NOX', 'AGE'})",0.021601212121212132
"frozenset({'NOX', 'AGE'})",0.016879008264462828
"frozenset({'RAD', 'AGE'})",0.011698898071625347
frozenset({'AGE'}),0.07421553719008274
"frozenset({'RAD', 'NOX', 'CHAS'})",0.00985757575757576
"frozenset({'NOX', 'CHAS'})",0.012534159779614328
"frozenset({'RAD', 'CHAS'})",0.0030011019283746653
frozenset({'CHAS'}),0.002040495867768604
"frozenset({'RAD', 'NOX'})",0.014677079889807165
frozenset({'NOX'}),0.13058622589531688
frozenset({'RAD'}),0.015160661157024849
frozenset(),0.0
